,Issue,Consumer complaint narrative,Company public response,Complaint ID
955,Cont'd attempts collect debt not owed,"On Friday, XXXX XXXX, 2015, at XXXX, I was on the phone with USAA Bill Pay Department speaking with a representative by the name of XXXX. When I filed for bankruptcy, USAA shut down all access to their website and services and only allowed me the ability to access to my account via mobile application. I was calling to see if it was possible to regain access to by Bill Pay so I could pay my bills again. 

XXXX stated the restrictions were put into place because I had a credit card which was included in the bankruptcy. She will transfer to the credit card department to pay my bill and then the restrictions will be removed. When I said excuse me, she against stated that when I my credit card debt, the restrictions against my bank accounts will be lifted and I can become a "" normal '' customer again. I informed her what she stated to me was very illegal ; that the debt was discharged in a BK and she can not collect on a debt that was involved in a BK and she can not promise me things that will not happen. I then asked if the phone calls are being recorded and she stammered out a few answers before I was able to be transferred. 

I was eventually transferred to an Executive Resolution Specialist, advised the Rep was in violation of the BK discharge and FCDPA ( false/misleading representation/unfair practices by stating restrictions would be removed when they would not, did not notify me they were collecting a debt and trying to collect a BK discharged debt ). The executive resolution specialist first asked what I was looking for in compensation, which I stated I was only trying to determine if the restrictions could be removed from my bank accounts. The Specialist informed me the restrictions on the bank account could be removed if the BK had been discharged, which had been in XX/XX/2015. After XXXX mins on the phone, I was advised the restrictions would NOT be removed and even though the debt was discharged in a BK and XXXX committed violations against FDCPA, they were sorry for her behavior. Prior to this statement, which resulted in my stating I would file a report with the CFPB and contact my BK attorney, I was advised all calls were recorded, was questioned as to why I wanted to know that information and what would the information be used for.",Company believes it acted appropriately as authorized by contract or law,1573303
956,Cont'd attempts collect debt not owed,"I filed a complaint with you against XXXX & XXXX and sent documentation of the paid debt to you. They were still allowed to take money out of my bank account and place holds on my motor vehicle registration until I paid the amount they listed. After seeing your action dated today I am wondering if I will receive any of the money taken from me. I also have an additional complaint ( # XXXX, Merchandise Credit Guide ) with you that I have not received any response from. I am concerned that the penalties received are not being given to the people wrongfully strong armed into paying and not receiving the money back. Please reply.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1893914
957,Cont'd attempts collect debt not owed,"A company by the name of XXXX XXXX XXXX , XXXX, of XXXX XXXX, wrote me about two months ago saying that an unpaid balance of {$230.00} on a Synchrony Bank/Belk account was sold to them on XX/XX/2016. I wrote them back that I had never had an account with Belk and had never received any requests for payment from a Synchrony Bank. I stated that apparently my name had been either maliciously or accidentally attached to this account, and I had no intent of paying for something I had never bought. After another letter or two, the latest from XXXX XXXX, their Division Manager, is now saying "" we will no longer be contacting you regarding this account by phone or mail unless it is to further respond to this dispute by you. ''",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2342659
958,Disclosure verification of debt,"I am a senior citizen with excellent credit, and have a Wells Fargo ( WF ) mortgage on a home I do not reside on. My late son and his family resided there. The mortgage was under my name but they were supposed to pay it. They never did and I only found out about it after his death last spring when I received a letter from a law office about a foreclosure. They did not make a payment in 8 years, and I was never notified. WF has my personal residential address but failed to notify me. I worked with WF, my broker and lawyer to do a short sale ( SS ). The lender approved the SS, but at that time, the price the lender wanted it listed at was too high and we had no offers for months. Attempts were made to lower the price, with broker and my lawyer reaching out to WF on several occasions. WF either ignored emails or failed to respond timely. I have XXXX pages of email correspondence, many asking the lender to please respond. Broker finally emailed WF saying we are dropping the price to said price, if you do not agree let me know ASAP. No response. Broker dropped price, held an open house and received a great offer, cash buyer. In the meanwhile WF rescindeded the short sale approval saying we did not have a buyer yet. This was said even thought WF ignored the brokers opinion based on XXXX 's that price was too high. Up until last week they had me submit more paperwork, in order to approve the short sale, and I submitted it in advance of their deadline, but yesterday they said they do not approve an extension of the foreclosure date of XXXX/XXXX/17 in order to have time to approve short sale and go through with the closing scheduled for XXXX/XXXX/2017. I want WF to push back the foreclosure so that the sale can go through.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2268462
959,Cont'd attempts collect debt not owed,"Payment was made to the original creditor in an agreement letter for a lesser amount than owed. Creditor agreed to terms and cashed check ( electronic debit ) from my checking account. Letter stating this, and all supporting documents were sent to all XXXX credit bureaus for removal. Collection agency who purchased account from a third party refuses to remove information from my credit reports XXXX and XXXX credit bureaus have stated this erroneous information has been verified by this third party collector. Collection agency states they purchased this account from another collection agency. My understanding is they are in violation of FDCPA Sec. XXXX ( a ) and they have used false representation and deceptive means to collect or attempt to collect any debt or to obtain information concerning a consumer. The original creditor agreed to remove the item in exchange for payment and any adverse information, and then failed to follow through with removal ; they are in violation of FDCPA by using deception. Collection agency also stated they are contracted by the original creditor which is false, once again deception ; this collection agency has no contract with me, and has never sent me any prior information of this debt. I ask that this derogatory information be removed from all "" XXXX '' of my credit reports. Thanks for your attention to this issue.",Company believes it acted appropriately as authorized by contract or law,1418343
960,Cont'd attempts collect debt not owed,"When I was in high school and living at home I had a XXXX account with my brother. I eventually moved out of the house, and called XXXX to be removed from the account. At the time, I thought I was covered for good. Just a couple of months ago, XXXX shows up on my credit report as a collections entry. I called XXXX to ask them what the problem was, as I should n't have been on any accounts for the last nine or so years. The first time I talked to them, the representative basically said they were able to fix the mistake, and that the entry would be taken off my credit report in about a month. After it had not been removed after around 40 days had passed, I called XXXX again. This time the representative said there was no notes about a previous call, and that I still owed the balance due. I reiterated that the balance should not be attached to my name at all. He lowered the amount due, but would not remove the report from my name. I should not owe any money to XXXX, but they are XXXX up my credit report with an old bill that should never have been mine to begin with.",Company believes the complaint is the result of a misunderstanding,2122034
961,Cont'd attempts collect debt not owed,"Not sure where this is from. 
I closed my XXXX account in XXXX 2016 ; and even received a credit check back for unused service. 
Also, my condo association changed to XXXX in my complex, XXXX 2016 and they checked my record and again did n't indicate I owed any past debts.",Company believes it acted appropriately as authorized by contract or law,1868236
962,Cont'd attempts collect debt not owed,"An agent of XXXX XXXX XXXX ( Enhanced Recovery Company , LLC ) place place a negative claim in my credit bureau record for an amount of {$300.00}. The negative claim resulted from the following. In XXXX 2013, I changed my XXXX XXXX XXXX home-phone service from analogue to digital and separated the billing for my wireless phone service from the billing for home phone. The combined billing account was closed as XXXX XXXX XXXX now bills me separately for UVERSE ( TV, home phone, and internet ) and wireless phone/data. Apparently, this change caused some confusion at XXXX XXXX XXXX and resulted in the XXXX XXXX XXXX claim that I still owe money under the combined billing account. I emailed the XXXX XXXX XXXX customer service to get the account straightened out, but they passed me from XXXX department to another but none of the departments has all the information needed to resolve the problem. I wrote a letter to XXXX XXXX XXXX XXXX XXXX on XXXX/XXXX/2013 requesting that they assign the case to someone that can have access to all the information needed to resolve the matter. A copy of the letter and the response from XXXX XXXX XXXX dated XXXX/XXXX/2013 are attached. As you can see from the attachment, all that XXXX XXXX XXXX did was provide me a meaningless standard response. XXXX XXXX XXXX has tried several times previously to use the collections system to bully me into paying them an amount of {$300.00} that I do not owe to XXXX XXXX XXXX. I requested XXXX and each of the several collection agencies that XXXX XXXX XXXX used at different times to provide me an itemized list of what led to the debt that XXXX XXXX XXXX claims against me, but nothing was provided to me.",Company believes it acted appropriately as authorized by contract or law,1345256
963,Cont'd attempts collect debt not owed,"Pro Collect Inc. sent me a memo stating they would accept % XXXX paid of the debit and close the account. After speaking with them over the telephone and confirming i was inform that they would report the account settlement as soon as possible. This did not happen, the account is still open and only reflects that i paid half when in fact the account should be reported closed and paid in full.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1951005
964,Cont'd attempts collect debt not owed,"I had an account with XXXX XXXX XXXX which I paid off in full. All my payments were sent directly to XXXX & I have all the receipts to prove it. There is this company Security Credit Systems Inc that has placed a hold on my XXXX account so that I can not get my crown replaced which I have paid for. Not only that they have reported this to credit agencies screwing up my credit. They say I owe them money. I DO NOT! I sent them a certified letter with return receipt so I know they got it refusing to pay them. I have never spoken with anyone from them nor received any kind of bill, statement or correspondence so I will not pay them. I expect this to be corrected immediately! Also, do n't you think its funny if I owed them money why they never sent me a bill for their "" services ''. If XXXX paid them to collect a debt they got ripped off because I 've never heard of this company. Something I forgot to mention is I never knew I was in collections until I tried to make an appointment with XXXX an they told me I needed to settle with this company first. I 'm XXXX retired with a limited income I can not afford to pay for a crown twice & I should n't have to.",Company believes it acted appropriately as authorized by contract or law,1944055
965,Cont'd attempts collect debt not owed,"Company in XXXX with the number registered as XXXX called my phone multiple times per day, eventually I was forced to answer. Silence for several seconds, then I was confronted by an XXXX man who refused to tell me who he was or why he was calling until I confirmed who I was. I confirmed, and he then told me he was with American Medical Collection, calling about a debt of {$72.00} XXXX. To my knowledge, I have no current outstanding medical debt, and my medical insurance has never contracted with these people before. Told him to call back later, at which time he offered me a one-time exemption where I could pay a flat {$50.00} XXXX to resolve the debt on the phone, right then and there. I told him no, he promised to call back later. 

I will be blocking this number, and apparently this company has been investigated and sued before for aggressive calling tactics. So, just a heads up, these people are still engaging in these tactics.",Company believes it acted appropriately as authorized by contract or law,2173881
966,Disclosure verification of debt,"JH Portfolio Debt Equiti, XXXX XXXX XXXX XXXX, XXXX, MO XXXX, XXXX will not delete from the credit reporting companies a charged off debt from 16 YEARS AGO that is too old. The old debt agreed that they were settled and no longer viable to me due to medical and low income problems. I want the XXXX debts that the company charged off DELETED from my credit reporting companies due to poor health and income.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2185262
967,Cont'd attempts collect debt not owed,"I did not know i can request an annual requested from XXXX to my dismay I then saw an entry from revenue system inc I then decided to call and inquire. I was told by a XXXX that NO RECORD FOUND he had me repeat name numerous times then transfer the call to a XXXX who is NOW XXXX who stated NO record found to read info on report and stated NO record to give phone # she will assist with credit report error. she XXXX XXXX called same day XXXX weeks a go in XXXX XXXX to say NO RECORD. I ask for the phone # of vendor, ac #, date of report and why the vendor NOR THEY NEVER wrote a LETTER to demand debt NOW UNABLE to give information an file this false report. I got NO ANSWER. She XXXX stated THIS WILL STAY ON THE REPORT I WILL NOT REMOE IT. I ASK FOR DETAIL INFOMATION AGAIN she XXXX XXXX stated if I continue to demand information I will NOT TELL YOU hung up. I then disputed the debt. 
I am in receipt of the report it stated that the DEBT is verified to be removed in XXXX XXXX. 
I then call the Revenue Systems Inc spoke again to XXXX he then acted extremely slow and asked same questions over and over again when I ask to speak to representative XXXX I was told that XXXX will call back that it is a Flood Insurance, ask for insurance co name, phone, detail of debt he REFUSE to provide. only XXXX can answer you. Upon calling back XXXX NOW stated that my husband took policy. I told her my husband died more then fourty years ago, NEVER CAME TO USA UNDER WHAT Authority SHE CAME To that CONCLUSION I WAS TOLD THAT I TOLD IT TO HER THAT HE TOOK POLICY AND HAS A LEGAL SIGNATURE ON THE DOCUMENT FOR FLOOD INSURANCE XX/XX/XXXX REQUEST AGAIN COMPANY NAME PHONE I WAS RUDELY TOLD SHE WILL NOT TELL OR GIVE ANY INFO AND IF I AM UPSET ABOUT THIS THAT IS JUST TOO BAD AND IF I CONTINUE TO ASK SHE IS GOING TO HANG UP AND THE REPORT STAYS. 
CHECK WITH FEMA I AM NOT IN A FLOOD ZONE. I AM A VICTIM OF FALE REPORTING FOR PERSONAL GAIN AND ABUSE OF FALSE REPORT WITHOUT MERIT, FAILURE TO PROVIDE EVIDENCE OR CONTACT MADE BY XXXX. PREDITORY AGENTS AND ACTED IN BAD FAITH UNDER THE FAIR CREDIT AND REPORTING ACT TO CAUSE HARM AND DENY ACCESS TO REASONABLE INSURANCE RATES WITH ANY COMPANY AND CAUSE INEBILITY TO GET CREDIT. THESE PEOPLE HAS DELIBERATELY ACTED TO CAUSED HARM TO ME.",Company believes it acted appropriately as authorized by contract or law,1497057
968,Communication tactics,"On Monday XX/XX/2016 I received at phone call from IQ data at XXXX. The representative on the phone, named XXXX XXXX, notified me of a debt we owed to our apartments that we moved out of 3 months ago. Our apartment has never sent us a invoice of the charges, never did a final walk thru, nor have they ever even told us a total sum amount of what owed. XXXX XXXX then became very pushy and condescending, to get me to "" pay this debt today ''. I told him I will not be paying anything until I received an itemized ledger stating what every charge is, because the amount they said we owed was ridiculously high. He then got extremely rude and I asked to speak with a supervisor. 

I was then transferred to XXXX XXXX, who also became very rude from the moment I spoke to her on the phone. she said, "" if I have my manager take his time to get off the floor and send you this invoice, you need to tell me you will take care of this debt today. '' I told her I would not agree to that, and I will not make ANY payment of any sort until I see this bill ; because I knew we were being over charged. She then said "" Ok, so you are refusing to pay?! '' I told her I have every intention of paying, but I will not pay a dime until i see the ledger because I know we are being over charged. She yelled something into the phone and transferred me to her manager without another word. The manager, XXXX XXXX, was respectful and said she will send out the ledger. I told her that from this point forward, I only wanted to speak with her. 

Still having not received the ledger, I got a call from XXXX XXXX on XX/XX/XXXX stating "" I need to pay this debt '' and theres no reason why I should n't have received the invoice. He got very pushy and disrespectful again so I hung up on him and called XXXX XXXX directly on her own extension. XXXX, again, answered the phone and began to harass me. He stated that I 'm unwilling to pay this debt. He said "" there are plenty of people out there that can loan you money to pay this off, you are refusing to pay it. '' After I told him I did n't want to speak with him, I called for XXXX XXXX he threatened me with a lawsuit. He stated "" We are filing a class action lawsuit against you! '' i told him that they do n't even have the capability of doing that, which he replied back with "" you will see what we are capable of! "". Throughout this phone call he would bark out things like "" go get your debit card! '' or "" pay this debt! "". My husband is a XXXX veteran, he heard every word of these conversations and spent the remainder of the day needing to calm down. 

XXXX XXXX finally got on the phone and was "" shocked '' by what I told her. Seems like this is a game of good cop, bad cop. She stated she will review the recordings with her manager. She also stated she put specific instructions on our file to have only HER contact us and that XXXX XXXX "" should not have been calling '' me and that maybe he "" missed that note somehow. '' The tactics of this "" company '' is disgraceful. Firstly, they refuse to send you an invoice unless you spend over an hour on the phone arguing with them, and ask to be transferred numerous times. I have still have not received this invoice. They are trying to buff their chests out and throw around empty threats to scare people into paying debts that they refuse to allow them to even see what they are paying for. 

They clearly do n't want people to see what they are paying for. They harass people into panic attacks, and threaten them. With the amount of complaints and lawsuits this company has, I 'm shocked they have n't been stopped!",Company believes complaint represents an opportunity for improvement to better serve consumers,2128921
969,Cont'd attempts collect debt not owed,I moved out of apartments and paid my last month rent and move out fees. They accidentally applied my payment else where which in turn sent my balance to a collection agency. This happened in XXXX of 2014 and I still can not get it cleared despite them stating they made the error and have said it was fixed twice.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,1641852
970,Cont'd attempts collect debt not owed,"XXXX XXXX I filed complaint against XXXX XXXX operating credit card reader for my private practice as XXXX. I enrolled as result of XXXX advertisement claiming a 1.59 % per swipe fee. I had been using XXXX - but decided to switch over. When my first invoice arrived I was shocked to XXXX that in addition to 1.59 % there were other fees and charges totaling almost 17 %. I called to cancel and was informed that I had three year contract and would be billed per month regardless. XXXX XXXX, XXXX I filed complaint with XXXX XXXX XXXX XXXX # XXXX. XXXX XXXX XXXX I received email notice of closure of my account. 
On XXXX XXXX XXXX I received Debt Collection notice from Eastern Account System of Connecticut , Inc. in the amount of {$76.00}. I contacted them by phone - and contacted XXXX XXXX XXXX XXXX XXXX regarding this alleged debt for which I have documentation of account closure.",Company believes it acted appropriately as authorized by contract or law,2099992
971,Communication tactics,"This company phones my home # ( above ) several times a day. They also call my cell #, XXXX, several times a day, except with my cell they call and let it ring one or two times, hang up and call again 4-5 times, then the last call rings until it goes to voicemail. They never leave messages on either # and when I picked up once there was no one there. My home phone caller ID identifies the company as IC System. They use different # s when they call. One is XXXX. Another is XXXX. Both are identified as IC System on my home phone.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1939880
972,Cont'd attempts collect debt not owed,"Please review previous complaint, case number XXXX. I believe the current issue is related to this case. 

During an interview last week ( XXXX XXXX, XXXX ) with a federal agent to renew my security clearance with the federal government, I was made aware of negative entries on my XXXX credit report, specifically XXXX references to a XXXX XXXX account that is supposedly in collections. The dollar amount is similar to a previous case ( See my complaint, case # XXXX ) where a debt was mistakenly attributed to me and I was targeted by a collection agency. As you can see from the attached documentation and from the notes in the previous case, this debt was never mine and was eventually cleared ( supposedly ). In a letter dated XXXX XXXX, XXXX, the Collection agency stated that XXXX XXXX notified them that the account had been cancelled and removed. 

I am not sure the XXXX accounts listed on my current credit report are related or not. However, I have never been contacted by XXXX XXXX at any time, and I have never been contacted by a collection agency since this issue was supposedly cleared last year. The reference to it on my credit report is my only indication of a problem. I have already disputed both accounts with XXXX. 

This debt is not, and never has been mine. I know nothing about it other than what I see on my credit report. However, now it is directly affecting my credit rating, and worse, it may potentially affect my security clearance and therefore my prospects for future employment.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1888361
973,Cont'd attempts collect debt not owed,"XXXX XXXX XXXX XXXX XXXX billed me for balance not covered by insurance for ER services rendered to my minor daughter on XXXX/XXXX/XXXX after her father, the insured, refused to pay. Prior to treatment, admissions clerk had me sign a computer pad & explained that it was permission to treat & bill insurance. Provided father 's info during services rendered & clerk said he would be billed as responsible party. No copy of the signed document was provided to me. Within 1 day of receiving balance notice reassigned to me, I paid XXXX of bill and provided hospital with copy of signed XXXX XXXX stating that father is responsible for equal share of uninsured medical bills & his complete contact info to pursue payment. Instead of responding to my dispute XXXX XXXX XXXX XXXX sent me a XXXX bill for 50 % balance. I initiated over 10 phone calls to dispute and assist in providing father 's current information to collect, but instead of attempting to contact court ordered responsible party for payment, hospital assigned XXXX ( XXXX ) to collect against me. 

Per court order supplied to XXXX XXXX XXXX XXXX XXXX collection agency on multiple occasions, I paid my responsible 50 % of medical expense on XXXX/XXXX/XXXX, included complete contact info for other legally, responsible party & biological father, XXXX XXXX and disputed remaining collection. 

After filing previous FTC complaint # XXXX, I received notification on XXXX/XXXX/XXXX from XXXX that debt had been cancelled. 

On XXXX/XXXX/XXXX, I received collection letter from new agency, Progressive Management Systems for same debt. 

XXXX XXXX XXXX XXXX has been provided, on multiple occasions, supporting documents & complete information for responsible party, but continues to re-assign new collection agencies to pursue me.",Company believes it acted appropriately as authorized by contract or law,2009951
974,Cont'd attempts collect debt not owed,"On XXXX XXXX, XXXX I received a letter from Douglas and Associates saying that I owed {$9400.00} for Demolition of a property in XXXX XXXX that was transferred to me on XXXX/XXXX/XXXX without my knowledge or agreement. The documentation that I received as "" proof '' was a "" Limited Warranty Deed '' from Grow Rich Properties who according to the XXXX county did not own the property on that date. The property was transferred from XXXX XXXX to XXXX XXXX on XXXX/XXXX/XXXX. XXXX XXXX then transferred the property to me on the same date using the document dated XXXX XXXX, XXXX according to Douglas. The XXXX deed states that XXXX XXXX "" is seized and possessed of the said land and has a right to convey it '' etc. Another county record says that the property was granted to me by XXXX XXXX XXXX the records do n't even match. 

I did attempt to purchase this property from XXXX XXXX XXXX XXXX starting XX/XX/XXXX and paid them {$20000.00} for the "" class '' that "" entitled '' me to a property, {$3500.00} for their cost and {$20000.00} for a property. I signed many contracts that Grow XXXX drew up and tried to contact them multiple times as well as the property management company they said I had to use, XXXX XXXX who sent me a Transaction Review sheet in XX/XX/XXXX stating they had my funds to transfer and would send my deed. 

In XXXX of XXXX, I made XXXX last attempt to recover at least a portion of my money by submitting a claim to the XXXX Department of Insurance for an errors and omission claim against XXXX. I sent the response letter to Douglas Associates stating that XXXX did not collect the money or conduct a closing so the department lacked proper jurisdiction. They sent a copy on to the Utah Attorney General and suggested I pursue civil litigation. I did not have the money to do so. After 3 years of trying everything that i could think of, I contacted my bank, presented them with all the documentation and history and received a portion of my money back. I had no more information on this property until I received the letter of debt from Douglas Assoc a few weeks ago. 

I never had a contract with XXXX XXXX, the contracts that I did siged with XXXX were never completed and returned to me. My copies say that I would receive a property that I agreed to take by XXXX XXXX. XXXX. XXXX XXXX is the person who received the condemnation letter XX/XX/XXXX and he was given 30 days to complete them by the City of XXXX. 

I received no notice of the transfer, the "" judgement hearing, or demolition bill until last week.",Company believes it acted appropriately as authorized by contract or law,2132304
975,Cont'd attempts collect debt not owed,"I am XXXX military and as such receive 100 % coverage of all medical and am void of any financial liability. I 'm protected by my federal military enlistment contract and the Soldiers and Sailors Act. I asked if they accepted tricare - they said yes. I told them that I would not approve any treatment not covered under my insurance. I was told it would be no problem. This is an issue that needs resolved between the medical biller and my insurance company. Whatever that end is, I should not be considered a responsible party.",Company believes it acted appropriately as authorized by contract or law,1832963
976,False statements or representation,"Reporting wrong amount to credit bureaus and refusing to accept payment of proper amount. 

1. XXXX final account statement dated XXXX XXXX, 2015 shows a balance of {$600.00}. See attached. 
2. This final statement has a charge of {$85.00} for final utilities. I had already paid the final utilities. Proof of this is attached. 
3. This final statement has a charge of {$270.00} to "" re-glaze '' a tub that was in the same condition upon move-in. It was an older apartment with an older tub that had slight discoloration and wear and tear upon move-in. This seemed normal given the age, so I did not see any need to mark this on my move-in checklist. 

This results in a balance of {$240.00}. I have tried since XXXX 2015 to resolve this, but "" XXXX '' and "" Fair Collections and Outsourcing '' will not correct the above errors and continue to report inaccurate amounts to the credit bureaus.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2086501
977,Can't repay my loan,"Vermont Student Assistance Corp ( VSAC ) ignored my deferment request and has garnished my Social Security deposit and my IRS tax refund. 

My deferment request was valid based on 1 ) an existing deferment for another student loan and 2 ) economic hardship. In addition to the garnishment, VSAC harasses me with daily phone calls and letters. It is pressuring me to enter its repayment program with higher interest rate. 

I am single, retired and live on a fixed income. Prior to the garnishment, my monthly income was {$1200.00}. After the garnishment, my monthly income is {$1100.00}. My income consists of Social Security and a small pension. I am unable to work and hope to receive XXXX but am afraid to apply because VSAC will take it. 

I am in extreme financial distress because of this garnishment. I have XXXX cents in my bank account. I had to sell books to buy my last monthly prescription. I had to borrow money to pay my utilities after having them cut-off 2 weeks ago. I live under daily XXXX because of this which affects my medical condition ( XXXX ).",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1937586
978,Disclosure verification of debt,"I have been monitoring my credit since a XXXX XXXX incident last year. All of a sudden a {$0.00} amount shows up:XXXX 
XXXX {$0.00} XXXX. XXXX, XXXX current debts have been addressed. This may be an attempt to collect a debt that is past the 7 years statute of limitation in Georgia. I deny having any outstanding debt to this company. I have had no communications with them. I challenge the company to provide proof / original documents.",Company chooses not to provide a public response,1366146
979,Dealing with my lender or servicer,"I began receiving phone calls from a place that was calling itself "" DM. '' They would not state what this acronym represented, and instead said, "" Oh, you do n't know? I think you do. '' They would ask for my birthdate and social security number. Obviously, no sane individual gives their Birthdate and Social Security Number to someone who wo n't identify themselves and attempts to obtain personal information. I sent this organization a "" Cease and Desist. '' They then contacted my workplace and spoke with the Administrative Assistant for my department. They attempted to obtain personal information about me from her. She provided me with their contact information. I called them again to state that they needed to stop. They said they would not talk to me unless I provided them with my Social Security Number and Date of Birth. Without receiving a single document from them, a "" Notice Prior to Wage Withholding '' was sent to the Payroll division of my place of employment. The Payroll Officer provided me with this document. In response, on XXXX XXXX, 2016, I sent them a letter indicating that their actions are illegal. My place of employment said that they then received a notice to stop the wage garnishment. I thought that that was the end of this matter with Delta Management Associates , Inc . They have provided no debt validation, claiming that they can not do so unless I give them my Social Security Number and Date of Birth over the telephone. I have requested that they verify the existence of this debt, which is not listed on my credit, and which I did not enter into with any organization. I have absolutely {$0.00} in student loan debt, and I attended an online program, for which I was given a full scholarship. I maintained a XXXX GPA to keep that scholarship. I also have written documentation from the school indicating that I did not have any debts. Delta Management Associate 's claim that I owe more than {$50000.00} is absolutely ridiculous. The school was an in-state school with tuition of less than {$1600.00} for XXXX semesters. This student loan crisis is appalling and disgusting, and I do n't know why something is n't being done to stop this monumental fraud. Today, XXXX XXXX, 2016, I received another letter from the Payroll division of my place of employment. It is another "" Notice of Wage Withholding '' from Delta Management. When I immediately called to determine what was happening, I received the same treatment. They state that they can not talk to me unless I provide them with my Date of Birth and Social Security Number. I called to ask them for their fax number, and in order to receive that information, they state that I must give them personally identifying information. The telephone call was recorded on both ends. I want this matter permanently resolved. Delta Management needs to correct all of its records and cease contacting my current and future places of employment. They also need to stop engaging in illegal Administrative Wage Garnishments, which is not an authority granted to them : a third-party debt collection agency. They are in violation of the FDCPA and my state 's ( California ) Rosenthal Act. I expect this matter to be resolved immediately.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2092688
980,Cont'd attempts collect debt not owed,"Dear Representative, This is NOT my debt and I NO knowledge of the DISPUTED acct. 
It 's passed seven years and they proceed to attempt to collect on it. 
In the past they were notified to stop collection on a acct. that is not mine or was opened under Identity Theft! It permanently remains disputed and must be removed off my credit file. 
Thank you, XXXX XXXX XXXX",Company chooses not to provide a public response,1500324
981,Cont'd attempts collect debt not owed,"I received a credit card from XXXX. I was XXXX in the space of five years and could not pay what I owed them. Anyway the debt of {$9100.00} went to CACV of Colorado - a collection agency. In the meantime, XXXX XXXX XXXX bought out the original company. A judgment was issued in XXXX against me for this debt by CACV. My medical bills totaled around XXXX dollars so I had no choice but to file bankruptcy. It went through in XXXX of XXXX. My husband died in XXXX XXXX and as a result, I may have to refinance the house. To my utter shock, the judgment was listed against the house which was financed in my husband 's name alone. And the total is some {$320000.00}! I believed the debt to be discharged by the bankruptcy especially since both the original creditor XXXX XXXX XXXX XXXX XXXX and CACV were listed on it. I never heard anything else from XXXX XXXX XXXX but CACV insists that I owe this money - an exorbitant amount considering that the original was far less. I never received any notice whatsoever about any of this - only for the original amount in a letter in XXXX. I never heard from them again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1884866
982,Cont'd attempts collect debt not owed,"I am a victim of identity theft. I have XXXX unauthorized and fraudulent accounts listed with American Accounts Advisors , Inc., that do not belong to me. I continue to receive harassing and threatening telephone calls from representatives from American Accounts Advisors , Inc., representatives.",Company believes it acted appropriately as authorized by contract or law,2005408
983,Dealing with my lender or servicer,"I was aloud to continue with school while waiting to get a response for my XXXX. I had been approved for it the previous XXXX times I applied but this time was taking longer then normal to get a response. When asked if I should temporarily withdraw, I was told no, they could n't promise me a spot when I returned. Because it was denied ( with no solid reason to do so ), I was forced out of school unless I came up with XXXX XXXX that day to cover what classes I had already taken. I never once signed anything agreeing to pay this amount nor agreed to stay in school if student aid could n't help me. I feel I am being tricked into this by XXXX XXXX and even after many attempts to get a solid explanation to their decision. I am not entirely sure who else I can turn to at this point or what I can do. I do n't have the money for a lawyer and now am being sent to collections. I filed an appeal with the school, heard nothing then received a paper in the mail from a debt collector. After contacting the collection agency, I informed them about the appeal, they contacted the school which in return told the agency they had never received an appeal. Two days later, I get a phone call from the director that she did get it, denied it and was sorry that nothing was sent out to inform me. Like I said, there are no signed documents from me agreeing to take out any such loan through XXXX college. When asked to see the XXXX, I was told they did n't keep them on file, after contacting XXXX, they do n't have it on file either since it was never filed to begin with AND apparently do n't keep XXXX over a certain amount of time. I have copies of all documentation between the school and myself regarding my past overrides that were approved and the paperwork about the one that was n't approved. None of it makes sense. Please help. I am now XXXX of dollars in school debt over a degree I was 3 months shy of getting because of something the school decided that was completely out of my control. 
The campus is located in XXXX, Ohio",Company believes it acted appropriately as authorized by contract or law,1955128
